type,index,page,left,top,right,bottom,width,height,text_preview
text,0,1,182.187,717.348,430.027,696.76,247.83999999999997,-20.587999999999965,UNITED STATES SECURITIES AND EXCHANGE COMMISSION
text,1,1,250.203,689.733,362.006,684.308,111.80299999999997,-5.4249999999999545,"Washington, D.C. 20549"
text,2,1,264.895,655.799,347.325,647.413,82.43,-8.385999999999967,FORM 10-K
text,3,1,263.113,488.982,349.101,479.115,85.988,-9.867000000000019,Apple Inc.
text,4,1,18.225,627.054,54.606,623.107,36.381,-3.9470000000000027,(Mark One)
text,5,1,100.965,616.004,511.257,610.432,410.29200000000003,-5.572000000000003,☒ ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF
text,6,1,223.71,602.052,388.51,597.608,164.79999999999998,-4.444000000000074,"For the fiscal year ended September 28, 2024"
text,7,1,302.505,590.577,309.708,586.133,7.203000000000031,-4.44399999999996,or
text,8,1,93.234,578.879,518.975,573.307,425.74100000000004,-5.572000000000003,☐ TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d
text,9,1,219.217,563.577,393.002,559.133,173.785,-4.44399999999996,For the transition period from              to    
text,10,1,239.024,551.427,334.444,546.983,95.42000000000002,-4.444000000000074,Commission File Number:
text,11,1,334.452,551.423,373.188,546.982,38.73599999999999,-4.441000000000031,001-36743
text,12,1,263.113,488.982,349.101,479.115,85.988,-9.867000000000019,Apple Inc.
text,13,1,212.245,467.052,399.973,462.608,187.728,-4.444000000000017,(Exact name of Registrant as specified in its char
text,14,1,128.64,441.398,165.996,436.957,37.35600000000002,-4.441000000000031,California
text,15,1,443.496,441.398,486.29,436.957,42.79400000000004,-4.441000000000031,94-2404110
text,16,1,96.514,430.629,198.108,419.257,101.59400000000001,-11.372000000000014,(State or other jurisdiction of incorporation or o
text,17,1,409.503,430.629,520.275,426.682,110.77199999999999,-3.9470000000000027,(I.R.S. Employer Identification No.)
text,18,1,107.262,407.648,187.364,392.407,80.102,-15.241000000000042,"One Apple Park Way Cupertino, California"
text,19,1,453.632,396.848,476.156,392.407,22.524,-4.441000000000031,95014
text,20,1,85.788,386.079,208.835,382.132,123.04700000000001,-3.9470000000000027,(Address of principal executive offices)
text,21,1,447.894,386.079,481.883,382.132,33.988999999999976,-3.9470000000000027,(Zip Code)
text,22,1,278.416,370.523,333.807,366.082,55.39100000000002,-4.441000000000031,(408) 996-1010
text,23,1,221.78,361.104,390.445,357.157,168.665,-3.9470000000000027,"(Registrant's telephone number, including area cod"
text,24,1,214.914,334.104,397.299,330.157,182.385,-3.9470000000000027,Securities registered pursuant to Section 12(b) of
text,25,1,118.547,318.579,175.868,314.632,57.321,-3.9470000000000027,Title of each class
text,26,1,277.436,318.579,334.746,314.632,57.31,-3.9470000000000027,Trading symbol(s)
text,27,1,393.789,318.579,536.184,314.632,142.39499999999998,-3.9470000000000027,Name of each exchange on which registered
text,28,1,56.046,308.423,230.275,303.982,174.229,-4.440999999999974,"Common Stock, $0.00001 par value per share"
text,29,1,295.07,308.423,317.119,303.982,22.049000000000035,-4.440999999999974,AAPL
text,30,1,406.698,308.423,523.274,303.982,116.57600000000002,-4.440999999999974,The Nasdaq Stock Market LLC
text,31,1,102.632,297.623,191.779,293.182,89.14699999999999,-4.440999999999974,0.000% Notes due 2025
text,32,1,302.041,297.623,310.141,293.182,8.100000000000023,-4.440999999999974,-
text,33,1,406.698,297.623,523.274,293.182,116.57600000000002,-4.440999999999974,The Nasdaq Stock Market LLC
text,34,1,102.632,286.823,191.779,282.382,89.14699999999999,-4.440999999999974,0.875% Notes due 2025
text,35,1,302.041,286.823,310.141,282.382,8.100000000000023,-4.440999999999974,-
text,36,1,406.698,286.823,523.274,282.382,116.57600000000002,-4.440999999999974,The Nasdaq Stock Market LLC
text,37,1,102.632,276.023,191.779,271.582,89.14699999999999,-4.441000000000031,1.625% Notes due 2026
text,38,1,302.041,276.023,310.141,271.582,8.100000000000023,-4.441000000000031,-
text,39,1,406.698,276.023,523.274,271.582,116.57600000000002,-4.441000000000031,The Nasdaq Stock Market LLC
text,40,1,102.632,265.22299999999996,191.779,260.7819999999999,89.14699999999999,-4.441000000000031,2.000% Notes due 2027
text,41,1,302.041,265.22299999999996,310.141,260.7819999999999,8.100000000000023,-4.441000000000031,-
text,42,1,406.698,265.22299999999996,523.274,260.7819999999999,116.57600000000002,-4.441000000000031,The Nasdaq Stock Market LLC
text,43,1,102.632,254.423,191.779,249.98199999999997,89.14699999999999,-4.441000000000031,1.375% Notes due 2029
text,44,1,302.041,254.423,310.141,249.98199999999997,8.100000000000023,-4.441000000000031,-
text,45,1,406.698,254.423,523.274,249.98199999999997,116.57600000000002,-4.441000000000031,The Nasdaq Stock Market LLC
text,46,1,102.632,243.62300000000005,191.779,239.18200000000002,89.14699999999999,-4.441000000000031,3.050% Notes due 2029
text,47,1,302.041,243.62300000000005,310.141,239.18200000000002,8.100000000000023,-4.441000000000031,-
text,48,1,406.698,243.62300000000005,523.274,239.18200000000002,116.57600000000002,-4.441000000000031,The Nasdaq Stock Market LLC
text,49,1,102.632,232.82299999999998,191.779,228.38200000000006,89.14699999999999,-4.440999999999917,0.500% Notes due 2031
text,50,1,302.041,232.82299999999998,310.141,228.38200000000006,8.100000000000023,-4.440999999999917,-
text,51,1,406.698,232.82299999999998,523.274,228.38200000000006,116.57600000000002,-4.440999999999917,The Nasdaq Stock Market LLC
text,52,1,102.632,222.02300000000002,191.779,217.582,89.14699999999999,-4.441000000000031,3.600% Notes due 2042
text,53,1,302.041,222.02300000000002,310.141,217.582,8.100000000000023,-4.441000000000031,-
text,54,1,406.698,222.02300000000002,523.274,217.582,116.57600000000002,-4.441000000000031,The Nasdaq Stock Market LLC
text,55,1,205.316,198.42899999999997,406.902,194.48199999999997,201.58599999999998,-3.9470000000000027,Securities registered pursuant to Section 12(g) of
text,56,1,18.225,172.10400000000004,392.186,168.15700000000004,373.96099999999996,-3.9470000000000027,Indicate by check mark if the Registrant is a well
text,57,1,278.891,160.42499999999995,302.387,155.332,23.49599999999998,-5.092999999999961,Yes ☒
text,58,1,302.389,160.42499999999995,333.332,155.332,30.942999999999984,-5.092999999999961,No ☐
text,59,1,18.225,141.72900000000004,396.585,137.78200000000004,378.35999999999996,-3.9470000000000027,Indicate by check mark if the Registrant is not re
text,60,1,278.891,130.04999999999995,302.387,124.957,23.49599999999998,-5.092999999999961,Yes ☐
text,61,1,302.389,130.04999999999995,333.332,124.957,30.942999999999984,-5.092999999999961,No ☒
text,62,1,18.225,100.55399999999997,593.994,87.832,575.769,-12.72199999999998,Indicate by check mark whether the Registrant (1) 
text,63,1,278.891,80.10000000000002,302.387,75.00700000000006,23.49599999999998,-5.092999999999961,Yes ☒
text,64,1,302.389,80.10000000000002,333.332,75.00700000000006,30.942999999999984,-5.092999999999961,No ☐
text,65,1,18.225,61.403999999999996,593.993,49.35699999999997,575.768,-12.047000000000025,Indicate by check mark whether the Registrant has 
text,66,1,278.891,41.625,302.387,36.53200000000004,23.49599999999998,-5.092999999999961,Yes ☒
text,67,1,302.389,41.625,333.332,36.53200000000004,30.942999999999984,-5.092999999999961,No ☐
text,68,2,18.225,772.179,593.999,759.457,575.774,-12.72199999999998,Indicate by check mark whether the Registrant is a
text,69,2,19.121,747.0,151.451,741.907,132.32999999999998,-5.092999999999961,Large accelerated filer ☒
text,70,2,432.675,747.0,584.801,741.907,152.12600000000003,-5.092999999999961,Accelerated filer ☐
text,71,2,19.121,735.525,151.451,729.757,132.32999999999998,-5.768000000000029,Non-accelerated filer ☐
text,72,2,432.675,735.525,584.801,729.757,152.12600000000003,-5.768000000000029,Smaller reporting company ☐
text,73,2,432.675,724.05,584.801,718.282,152.12600000000003,-5.767999999999915,Emerging growth company ☐
text,74,2,18.225,701.979,593.996,687.907,575.771,-14.072000000000003,"If  an  emerging growth company, indicate by check"
text,75,2,18.225,674.304,593.995,660.907,575.77,-13.396999999999935,Indicate by check mark whether the Registrant has 
text,76,2,18.225,647.304,593.992,633.232,575.7669999999999,-14.072000000000003,If securities are registered pursuant to Section 1
text,77,2,18.225,619.629,593.991,605.557,575.766,-14.072000000000003,Indicate by check mark whether any of those error 
text,78,2,18.225,591.954,346.189,588.007,327.964,-3.9470000000000027,Indicate by check mark whether the Registrant is a
text,79,2,278.891,580.275,302.387,575.182,23.49599999999998,-5.092999999999961,Yes ☐
text,80,2,302.389,580.275,333.332,575.182,30.942999999999984,-5.092999999999961,No ☒
text,81,2,18.225,561.579,593.997,531.982,575.7719999999999,-29.59699999999998,The aggregate market value of the voting and non-v
text,82,2,155.978,519.054,456.245,515.107,300.267,-3.9470000000000027,"15,115,823,000 shares of common stock were issued "
text,83,2,213.553,496.748,398.667,492.307,185.11399999999998,-4.440999999999974,DOCUMENTS INCORPORATED BY REFERENCE
text,84,2,18.225,484.629,593.998,463.132,575.773,-21.497000000000014,Portions of the Registrant's definitive proxy stat
text,85,3,286.759,728.948,325.463,724.507,38.70400000000001,-4.441000000000031,Apple Inc.
text,86,3,286.084,708.698,326.141,704.257,40.057000000000016,-4.441000000000031,Form 10-K
text,87,3,217.719,693.173,394.499,688.732,176.78000000000003,-4.441000000000031,"For the Fiscal Year Ended September 28, 2024"
text,88,3,262.765,678.323,349.46,673.882,86.695,-4.441000000000031,TABLE OF CONTENTS
text,89,4,18.225,713.423,594.0,621.232,575.775,-92.19100000000003,This Annual Report on Form 10-K ('Form 10-K') cont
text,90,4,18.225,605.423,593.999,581.407,575.774,-24.015999999999963,"Unless otherwise stated, all information presented"
text,91,4,18.225,560.198,44.174,555.757,25.948999999999998,-4.441000000000031,PART I
text,92,4,18.225,539.273,88.902,534.832,70.67699999999999,-4.441000000000031,Item 1.    Business
text,93,4,18.225,521.723,104.636,517.282,86.411,-4.440999999999917,Company Background
text,94,4,18.225,506.202,593.997,492.308,575.7719999999999,-13.894000000000005,"The  Company  designs,  manufactures  and  markets"
text,95,4,18.225,471.098,53.33,466.657,35.105,-4.441000000000031,Products
text,96,4,18.225,452.873,43.447,448.432,25.222,-4.440999999999974,iPhone
text,97,4,18.225,439.787,593.998,423.458,575.773,-16.32899999999995,iPhone is the Company's line of smartphones based 
text,98,4,18.225,404.273,33.527,399.832,15.302,-4.441000000000031,Mac
text,99,4,18.225,390.512,594.002,374.858,575.7769999999999,-15.653999999999996,Mac  is the Company's line of personal computers b
text,100,4,18.225,354.998,34.437,350.557,16.211999999999996,-4.440999999999974,iPad
text,101,4,18.225,341.912,582.529,335.708,564.304,-6.203999999999951,iPad is the Company's line of multipurpose tablets
text,102,4,18.225,315.848,144.281,311.407,126.05600000000001,-4.441000000000031,"Wearables, Home and Accessories"
text,103,4,18.225,302.087,594.004,276.98299999999995,575.779,-25.104000000000042,"Wearables includes smartwatches, wireless headphon"
text,104,4,18.225,262.26199999999994,593.993,246.60799999999995,575.768,-15.653999999999996,"Home includes Apple TV ,  the  Company's media str"
text,105,4,18.225,230.80200000000002,250.546,226.35799999999995,232.321,-4.444000000000074,Accessories includes Apple-branded and third-party
text,106,4,256.247,191.00400000000002,355.975,187.05700000000002,99.72800000000001,-3.9470000000000027,Apple Inc. | 2024 Form 10-K | 1
text,107,5,18.225,712.748,51.554,708.307,33.329,-4.441000000000031,Services
text,108,5,18.225,695.198,58.294,690.757,40.068999999999996,-4.441000000000031,Advertising
text,109,5,18.225,679.677,469.045,675.233,450.82,-4.444000000000074,The Company's advertising services include third-p
text,110,5,18.225,654.023,56.498,649.582,38.272999999999996,-4.441000000000031,AppleCare
text,111,5,18.225,640.262,593.999,615.158,575.774,-25.103999999999928,The Company offers a portfolio of fee-based servic
text,112,5,18.225,593.273,72.698,588.832,54.47299999999999,-4.441000000000031,Cloud Services
text,113,5,18.225,578.427,578.319,573.983,560.0939999999999,-4.444000000000074,The Company's cloud services store and keep custom
text,114,5,18.225,552.773,71.354,548.332,53.129,-4.441000000000031,Digital Content
text,115,5,18.225,538.337,593.994,522.008,575.769,-16.32899999999995,"The Company operates various platforms, including "
text,116,5,18.225,507.287,594.002,482.183,575.7769999999999,-25.103999999999985,The  Company  also  offers  digital  content  thro
text,117,5,18.225,460.973,83.5,456.532,65.275,-4.441000000000031,Payment Services
text,118,5,18.225,447.212,499.464,441.008,481.239,-6.204000000000008,"The Company offers payment services, including App"
text,119,5,18.225,419.798,56.937,415.357,38.711999999999996,-4.440999999999974,Segments
text,120,5,18.225,404.277,594.0,351.908,575.775,-52.36899999999997,The Company manages its business primarily on a ge
text,121,5,18.225,330.023,113.186,325.582,94.96100000000001,-4.441000000000031,Markets and Distribution
text,122,5,18.225,315.177,593.993,281.708,575.768,-33.468999999999994,The Company's customers are primarily in the consu
text,123,5,18.225,259.823,65.468,255.38200000000006,47.243,-4.440999999999917,Competition
text,124,5,18.225,244.97699999999998,594.0,201.38300000000004,575.775,-43.59399999999994,The markets for the Company's products and service
text,125,5,256.247,166.70399999999995,355.975,162.75700000000006,99.72800000000001,-3.946999999999889,Apple Inc. | 2024 Form 10-K | 2
text,126,6,18.225,718.827,594.0,675.233,575.775,-43.59400000000005,The Company's ability to compete successfully depe
text,127,6,18.225,659.427,594.0,586.808,575.775,-72.61900000000003,The Company is focused on expanding its market opp
text,128,6,18.225,564.923,106.87,560.482,88.64500000000001,-4.441000000000031,Supply of Components
text,129,6,18.225,550.077,593.997,516.608,575.7719999999999,-33.46900000000005,Although most components essential to the Company'
text,130,6,18.225,500.127,594.0,457.208,575.775,-42.91899999999998,The Company uses some custom components that are n
text,131,6,18.225,441.402,593.991,426.833,575.766,-14.56899999999996,The Company has entered into agreements for the su
text,132,6,18.225,405.623,124.462,401.182,106.237,-4.440999999999974,Research and Development
text,133,6,18.225,390.102,593.999,356.633,575.774,-33.468999999999994,Because the industries in which the Company compet
